Metric		Current
TOTAL_NUMBER_OF_FILES		29,678
NUMBER_OF_FILES_MAIN		59
LINES_OF_CODE_MAIN		2,545
NUMBER_OF_FILES_MAIN_EXT_CSS		12
LINES_OF_CODE_MAIN_EXT_CSS		973
NUMBER_OF_FILES_MAIN_EXT_JSX		20
LINES_OF_CODE_MAIN_EXT_JSX		925
NUMBER_OF_FILES_MAIN_EXT_JS		17
LINES_OF_CODE_MAIN_EXT_JS		485
NUMBER_OF_FILES_MAIN_EXT_TSX		2
LINES_OF_CODE_MAIN_EXT_TSX		94
NUMBER_OF_FILES_MAIN_EXT_TS		3
LINES_OF_CODE_MAIN_EXT_TS		36
NUMBER_OF_FILES_MAIN_EXT_MJS		1
LINES_OF_CODE_MAIN_EXT_MJS		16
NUMBER_OF_FILES_MAIN_EXT_HTML		1
LINES_OF_CODE_MAIN_EXT_HTML		13
NUMBER_OF_FILES_MAIN_EXT_SVG		3
LINES_OF_CODE_MAIN_EXT_SVG		3
NUMBER_OF_FILES_TEST		2
LINES_OF_CODE_TEST		162
NUMBER_OF_FILES_TEST_EXT_JSX		2
LINES_OF_CODE_TEST_EXT_JSX		162
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		6.36
NUMBER_OF_FILES_GENERATED		1
LINES_OF_CODE_GENERATED		5,622
NUMBER_OF_FILES_GENERATED_EXT_JSON		1
LINES_OF_CODE_GENERATED_EXT_JSON		5,622
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		11
LINES_OF_CODE_OTHER		5,822
NUMBER_OF_FILES_OTHER_EXT_JSON		8
LINES_OF_CODE_OTHER_EXT_JSON		5,791
NUMBER_OF_FILES_OTHER_EXT_MD		3
LINES_OF_CODE_OTHER_EXT_MD		31
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND		10
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND		346
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_EXT_JS		10
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_EXT_JS		346
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND		38
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND		1,993
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_CSS		11
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_CSS		951
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JSX		20
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JSX		925
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JS		6
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JS		104
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_HTML		13
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP		11
LINES_OF_CODE_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP		206
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_TSX		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_TSX		94
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_TS		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_TS		36
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_JS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_JS		35
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_CSS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_CSS		22
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_MJS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_MJS		16
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_SVG		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_NEXT_VITEST_APP_EXT_SVG		3
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		0
LINES_OF_CODE_CONCERN_GENERAL_TODOS		0
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		59
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		2,545
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		12
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		973
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		20
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		925
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		17
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		485
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TSX		2
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_TSX		94
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TS		3
